Depth,SdlArea
309.57,0
310.64,0
311.7,0.0306
311.7,0.0161
312.77,0
313.83,0
314.89,0.0283
315.96,0.0252
315.96,0.101
317.02,0.0263
318.09,0.0456
318.09,0.0388
318.09,0.0191
319.15,0.0738
319.15,0.0198
320.21,0.0723
321.28,0
322.34,0
323.4,0.0552
323.4,0.0555
323.4,0.058
324.47,0
325.53,0
326.6,0
327.66,0.0187
327.66,0.0356
327.66,0.1221
328.72,0
329.79,0
330.85,0.0131
330.85,0.0141
330.85,0.0255
331.91,0
332.98,0
334.04,0
335.11,0.0444
335.11,0.0819
336.17,0.1231
336.17,0.0649
337.23,0.0491
338.3,0
339.36,0.0532
339.36,0.0493
339.36,0.0639
340.43,0
341.49,0.1727
342.55,0
343.62,0.0191
343.62,0.0284
344.68,0.0532
345.74,0.0322
345.74,0.0203
345.74,0.0384
345.74,0.0232
346.81,0.0291
346.81,0.0762
346.81,0.0067
347.87,0.0544
347.87,0.0153
347.87,0.0574
348.94,0
350,0
351.06,0.0753
351.06,0.0406
351.06,0.0583
352.13,0.0815
352.13,0.1149
353.19,0
354.26,0.0705
354.26,0.0428
355.32,0.0342
355.32,0.0371
355.32,0.0412
355.32,0.0727
355.32,0.025
355.32,0.0274
355.32,0.0278
355.32,0.0308
356.38,0.0479
356.38,0.0447
357.45,0
358.51,0
359.57,0.148
360.64,0
361.7,0
362.77,0
363.83,0.0399
363.83,0.0232
363.83,0.0591
363.83,0.0699
364.89,0.014
364.89,0.021
364.89,0.0509
364.89,0.0419
365.96,0.0147
365.96,0.0169
365.96,0.0154
365.96,0.0204
367.02,0
368.09,0
369.15,0.0463
369.15,0.0149
369.15,0.0393
369.15,0.0159
369.15,0.0542
369.15,0.0324
370.21,0.0171
370.21,0.0172
371.28,0
372.34,0.0101
373.4,0.0241
374.47,0
375.53,0.026
376.6,0.043
376.6,0.0062
376.6,0.0133
376.6,0.0187
377.66,0.0179
378.72,0
379.79,0
380.85,0.0177
381.91,0.0315
381.91,0.0243
382.98,0.0478
382.98,0.0442
384.04,0
385.11,0
386.17,0
387.23,0.0128
389.36,0.0124
389.36,0.0275
389.36,0.0063
389.36,0.0146
389.36,0.0606
390.43,0.0219
390.43,0.0058
390.43,0.01
391.49,0.0207
392.55,0.0542
393.62,0.0214
393.62,0.0471
393.62,0.0851
394.68,0.0327
395.74,0.005
395.74,0.0106
395.74,0.0222
396.81,0.0237
396.81,0.0151
396.81,0.0375
396.81,0.0347
397.87,0.0632
398.22,0.0211
398.22,0.0425
398.57,0.0835
398.57,0.0341
398.92,0
399.27,0
399.62,0
399.97,0
400.32,0
400.67,0
401.02,0
402.04,0
403.06,0.0161
404.08,0.0329
405.1,0.0575
405.1,0.029
406.12,0
407.14,0
408.16,0.0297
409.18,0.0294
409.18,0.0172
409.18,0.1728
409.18,0.1105
409.18,0.0263
410.2,0.0559
410.2,0.1283
411.22,0
412.24,0.0239
412.24,0.1371
413.27,0.0373
413.27,0.0344
414.29,0.1081
415.31,0.0326
415.31,0.063
415.31,0.0406
415.31,0.046
415.31,0.0288
415.31,0.0254
416.33,0.0749
416.33,0.0859
416.33,0.111
416.33,0.0428
416.33,0.0483
416.33,0.0927
416.33,0.1256
416.33,0.0129
416.33,0.0184
416.33,0.0137
416.33,0.0163
417.35,0.0579
417.35,0.0731
417.35,0.0368
417.35,0.13
417.35,0.041
418.37,0.0136
418.37,0.0115
418.37,0.0436
418.37,0.0298
418.37,0.0224
418.37,0.0137
418.37,0.0123
419.39,0.0274
419.39,0.0653
419.39,0.0588
419.39,0.0373
419.39,0.0356
419.39,0.0203
419.39,0.0461
419.39,0.0201
420.41,0
421.43,0.0226
421.43,0.0266
421.43,0.0236
422.45,0.008
423.47,0.0868
423.47,0.0396
423.47,0.0305
423.47,0.2106
423.47,0.0117
423.47,0.0043
423.47,0.0571
423.47,0.0089
424.49,0
425.51,0.0293
426.53,0.0949
426.53,0.0099
427.55,0.0493
427.55,0.021
427.55,0.0661
428.57,0
429.59,0.0417
429.59,0.0314
430.61,0.0143
430.61,0.0386
431.63,0.0758
431.63,0.1039
432.65,0.0246
432.65,0.0274
432.65,0.0337
433.67,0.0751
433.67,0.0296
433.67,0.027
433.67,0.0353
433.67,0.0846
433.67,0.0198
433.67,0.0316
434.69,0.0098
434.69,0.0303
434.69,0.0293
434.69,0.0507
434.69,0.0283
435.71,0.0425
435.71,0.0183
435.71,0.0954
435.71,0.0336
436.73,0.0236
437.76,0.0265
437.76,0.044
438.78,0.1335
438.78,0.0112
439.8,0.0627
439.8,0.0452
439.8,0.0597
440.82,0.053900000000000003
441.84,0.0553
442.86,0.0165
442.86,0.008
442.86,0.1063
442.86,0.1428
442.86,0.0475
443.88,0.0401
443.88,0.0368
443.88,0.0171
443.88,0.0101
444.9,0.0245
444.9,0.0723
445.92,0.046
446.94,0.0342
447.96,0.3663
448.98,0.0603
450,0.0317
450,0.017
451.02,0.0582
451.02,0.0422
451.02,0.0538
452.04,0.0551
452.04,0.0051
454.08,0.0242
454.08,0.0494
454.08,0.0631
455.1,0.0544
455.1,0.0302
455.1,0.0146
455.1,0.025
455.1,0.0336
455.1,0.04
456.12,0.0116
456.12,0.0248
456.12,0.0191
457.14,0.1092
457.14,0.0113
458.16,0.3337
459.18,0.0312
459.18,0.3126
459.18,0.0273
459.18,0.2104
459.18,0.051
459.18,0.0551
459.18,0.0438
459.18,0.0227
460.2,0.0269
460.2,0.0314
461.22,0.0158
461.22,0.0224
461.22,0.033
462.24,0.036
462.24,0.059
463.27,0.0197
463.27,0.1169
463.27,0.0374
463.27,0.1359
463.27,0.1333
463.27,0.2456
463.27,0.1266
463.27,0.0238
463.27,0.1307
464.29,0.0277
464.29,0.0937
464.29,0.0095
464.29,0.0105
464.29,0.0201
464.29,0.0475
464.29,0.0264
464.29,0.0854
464.29,0.0122
464.29,0.0304
464.29,0.0345
465.31,0.1105
465.31,0.1335
465.31,0.0496
465.31,0.0722
466.33,0.1608
466.33,0.0356
466.33,0.0823
466.33,0.0488
466.33,0.0255
466.33,0.0464
466.33,0.021
466.33,0.0289
466.33,0.0533
466.33,0.2102
466.33,0.0443
466.33,0.0596
467.35,0.0435
467.35,0.0257
467.35,0.0477
467.35,0.0247
467.35,0.0419
467.35,0.0618
467.35,0.0262
468.37,0.0215
468.37,0.0295
468.37,0.0554
468.37,0.0324
468.37,0.0511
468.37,0.0327
468.37,0.0196
468.37,0.0276
468.37,0.0349
468.37,0.027
468.37,0.086
469.39,0.0832
469.39,0.0761
469.39,0.0417
469.39,0.0465
469.39,0.0603
469.39,0.0109
469.39,0.0423
469.39,0.4191
469.39,0.0859
470.41,0.2002
470.41,0.0245
470.41,0.0195
470.41,0.0489
470.41,0.101
470.41,0.0541
470.41,0.0324
470.41,0.1315
470.41,0.0517
470.41,0.051
470.41,0.035
470.41,0.0257
470.41,0.0119
471.43,0.0574
471.43,0.028
471.43,0.1321
471.43,0.0552
471.43,0.1026
471.43,0.024
471.43,0.089
471.43,0.0356
471.43,0.0529
472.45,0.0413
472.45,0.2175
472.45,0.0478
472.45,0.0513
472.45,0.0618
472.45,0.0466
472.45,0.0784
472.45,0.0396
472.45,0.1007
473.47,0.2096
473.47,0.0597
473.47,0.0709
473.47,0.1969
473.47,0.0213
473.47,0.4048
473.47,0.0483
473.47,0.02
473.47,0.0281
474.49,0.0375
474.49,0.0703
475.51,0.0156
476.53,0.0375
476.53,0.0183
476.53,0.0336
476.53,0.0263
476.53,0.01
477.55,0.036
477.55,0.0871
477.55,0.046
478.57,0.0184
479.59,0.0305
480.61,0.0515
480.61,0.0405
480.61,0.1056
480.61,0.0187
481.63,0.0286
482.65,0
483.67,0.0494
483.67,0.0633
483.67,0.0864
483.67,0.043
483.67,0.0133
484.69,0.0223
484.69,0.0342
485.71,0.0246
485.71,0.0405
485.71,0.0242
485.71,0.0531
